episode,win_rate,avg_reward,accuracy,epsilon
1,21.0,-68.36,52.40480961923848,0.199
2,26.0,-50.65,54.39453125,0.19800500000000001
3,18.0,-72.95,52.46548323471401,0.197014975
4,24.0,-60.05,53.61328125,0.19602990012500002
5,26.0,-51.67,54.12115193644489,0.19504975062437502
6,22.0,-62.66,53.03921568627451,0.19407450187125314
7,16.0,-75.26,52.35235235235235,0.19310412936189686
8,23.0,-56.99,54.187192118226605,0.19213860871508737
9,21.0,-63.91,53.30049261083744,0.19117791567151193
10,22.0,-59.49,54.11764705882353,0.19022202609315436
11,15.0,-82.45,51.006036217303816,0.18927091596268858
12,21.0,-61.42,54.28296438883542,0.18832456138287512
13,32.0,-31.24,56.77480916030534,0.18738293857596075
14,25.0,-46.0,56.26740947075209,0.18644602388308096
15,19.0,-67.04,54.57979225684608,0.18551379376366556
16,22.0,-71.5,51.151151151151154,0.18458622479484724
17,25.0,-53.16,54.66019417475728,0.183663293670873
18,28.000000000000004,-52.69,52.46548323471401,0.18274497720251864
19,26.0,-51.3,54.17075564278705,0.18183125231650604
20,16.0,-78.09,52.352941176470594,0.18092209605492351
21,24.0,-52.35,55.2930056710775,0.1800174855746489
22,28.000000000000004,-47.33,54.736842105263165,0.17911739814677563
23,25.0,-52.21,54.420432220039295,0.17822181115604174
24,24.0,-56.13,53.56435643564357,0.17733070210026153
25,24.0,-51.27,55.3875236294896,0.17644404858976023
26,19.0,-66.08,54.19047619047619,0.17556182834681144
27,31.0,-37.95,54.826254826254825,0.1746840192050774
28,26.0,-56.29,53.14685314685315,0.173810599109052
29,27.0,-47.16,54.650047938638544,0.17294154611350673
30,23.0,-59.18,53.522504892367905,0.1720768383829392
31,26.0,-44.67,55.88507877664504,0.1712164541910245
32,26.0,-50.55,54.875717017208416,0.17036037192006936
33,15.0,-79.75,52.039800995024876,0.16950857006046902
34,17.0,-76.46,52.74177467597209,0.16866102721016668
35,26.0,-51.99,54.19479267116682,0.16781772207411585
36,23.0,-60.88,53.05719921104537,0.16697863346374528
37,18.0,-69.28,53.4769833496572,0.16614374029642656
38,24.0,-54.45,54.05921680993314,0.16531302159494443
39,24.0,-51.06,56.015037593984964,0.16448645648696972
40,17.0,-72.04,53.5645472061657,0.16366402420453488
41,24.0,-52.42,54.962546816479396,0.1628457040835122
42,16.0,-79.05,52.42718446601942,0.16203147556309463
43,22.0,-59.46,54.2502387774594,0.16122131818527916
44,19.0,-64.36,55.285313376987844,0.16041521159435276
45,20.0,-66.62,53.663177925784964,0.159613135536381
46,22.0,-62.61,53.58898721730581,0.15881506985869911
47,27.0,-53.91,53.89863547758284,0.15802099450940563
48,27.0,-47.35,54.31861804222648,0.1572308895368586
49,23.0,-62.83,52.35707121364093,0.1564447350891743
50,20.0,-69.8,52.1,0.15566251141372844
51,21.0,-59.12,54.685990338164245,0.1548841988566598
52,24.0,-49.1,56.05504587155963,0.1541097778623765
53,21.0,-64.87,52.73088381330685,0.15333922897306462
54,28.999999999999996,-42.17,55.08637236084453,0.1525725328281993
55,24.0,-47.51,56.05920444033302,0.1518096701640583
56,30.0,-36.49,55.490196078431374,0.151050621813238
57,24.0,-60.26,53.13725490196079,0.15029536870417182
58,28.000000000000004,-43.86,55.32319391634981,0.14954389186065095
59,23.0,-57.66,53.96669931439765,0.1487961724013477
60,22.0,-59.5,54.06189555125726,0.14805219153934096
61,27.0,-40.76,56.79475164011246,0.14731193058164427
62,23.0,-55.84,55.10983763132761,0.14657537092873604
63,22.0,-67.32,52.0366598778004,0.14584249407409236
64,21.0,-64.33,53.275529865125236,0.1451132816037219
65,19.0,-66.31,53.57142857142857,0.1443877151957033
66,11.0,-92.1,51.9364448857994,0.14366577661972477
67,22.0,-57.37,54.88505747126437,0.14294744773662615
68,27.0,-54.12,52.98804780876494,0.14223271049794303
69,27.0,-45.24,55.49188156638013,0.14152154694545332
70,24.0,-59.48,53.99422521655438,0.14081393921072605
71,21.0,-57.81,55.240793201133144,0.1401098695146724
72,17.0,-73.06,52.34765234765235,0.13940932016709906
73,12.0,-84.35,52.63157894736842,0.13871227356626356
74,28.999999999999996,-44.97,54.35203094777563,0.13801871219843223
75,25.0,-58.17,53.040877367896314,0.13732861863744006
76,24.0,-49.65,55.63839701770736,0.13664197554425286
77,28.999999999999996,-39.72,56.35514018691589,0.1359587656665316
78,23.0,-56.51,54.214559386973185,0.13527897183819892
79,25.0,-51.93,54.42307692307692,0.13460257697900793
80,24.0,-56.98,53.23529411764706,0.13392956409411289
81,19.0,-65.37,54.6234509056244,0.1332599162736423
82,19.0,-65.75,55.014326647564474,0.1325936166922741
83,26.0,-49.59,54.420432220039295,0.13193064860881273
84,26.0,-42.18,56.123432979749275,0.13127099536576867
85,16.0,-72.02,54.00390625,0.13061464038893983
86,28.000000000000004,-53.33,53.01810865191147,0.12996156718699514
87,20.0,-68.04,53.19767441860465,0.12931175935106015
88,24.0,-51.62,55.5767397521449,0.12866520055430486
